name,lat,lng
Budapest,47.4925,19.0514
Debrecen,47.5300,21.6392
Székesfehérvár,47.1956,18.4089
Győr,47.6842,17.6344
Szeged,46.2550,20.1450
Nyíregyháza,47.9531,21.7271
Kecskemét,46.9061,19.6897
Miskolc,48.0833,20.6667
Szombathely,47.2351,16.6219
Pécs,46.0708,18.2331
Veszprém,47.0930,17.9138
Kaposvár,46.3638,17.7823
Sopron,47.6849,16.5831
Érd,47.3784,18.9220
Szolnok,47.1747,20.1965
Tatabánya,47.5862,18.3949
Békéscsaba,46.6790,21.0910
Zalaegerszeg,46.8392,16.8511
Eger,47.8990,20.3747
Nagykanizsa,46.4550,16.9925
Dunaújváros,46.9806,18.9127
Dunakeszi,47.6303,19.1412
Hódmezővásárhely,46.4304,20.3188
Szigetszentmiklós,47.3456,19.0483
Cegléd,47.1743,19.8020
Baja,46.1833,18.9536
Mosonmagyaróvár,47.8737,17.2687
Vác,47.7752,19.1310
Salgótarján,48.1040,19.8075
Gödöllő,47.6000,19.3667
Ózd,48.2192,20.2869
Szekszárd,46.3560,18.7038
Pápa,47.3237,17.4680
Budaörs,47.4607,18.9580
Gyöngyös,47.7833,19.9333
Esztergom,47.7856,18.7403
Ajka,47.1006,17.5522
Szentendre,47.7044,19.0686
Siófok,46.9239,18.0901
Kazincbarcika,48.2531,20.6456
Gyál,47.3861,19.2192
Dunaharaszti,47.3539,19.0948
Tata,47.6526,18.3238
Komló,46.1912,18.2613
Vecsés,47.4057,19.2648
Göd,47.6906,19.1344
Fót,47.6181,19.1903
Veresegyház,47.6505,19.2830
Hatvan,47.6681,19.6697
Gyömrő,47.4250,19.3977
Komárom,47.7403,18.1244
Várpalota,47.1989,18.1376
Keszthely,46.7696,17.2481
Monor,47.3475,19.4489
Szigethalom,47.3154,19.0078
Békés,46.7667,21.1333
Százhalombatta,47.3004,18.9136
Dombóvár,46.3820,18.1422
Oroszlány,47.4833,18.3167
Pomáz,47.6431,19.0196
Mohács,45.9959,18.6798
Pécel,47.4893,19.3354
Mátészalka,47.9500,22.3167
Mezőkövesd,47.8167,20.5833
Kisvárda,48.2167,22.0833
Kalocsa,46.5335,18.9858
Budakeszi,47.5123,18.9281
Sárvár,47.2500,16.9333
Tapolca,46.8828,17.4081
Biatorbágy,47.4712,18.8252
Tiszaújváros,47.9333,21.0833
Pilisvörösvár,47.6211,18.9108
Törökbálint,47.4367,18.9122
Balassagyarmat,48.0786,19.2942
Sátoraljaújhely,48.4000,21.6667
Kerepestarcsa,47.5478,19.2634
Hajdúsámson,47.6000,21.7667
Albertirsa,47.2400,19.6067
Bonyhád,46.3006,18.5309
Balatonfüred,46.9500,17.8833
Gárdony,47.1973,18.6091
Hajdúhadház,47.6833,21.6667
Üllő,47.3854,19.3439
Maglód,47.4439,19.3526
Nagykáta,47.4120,19.7396
Bicske,47.4907,18.6363
Kőszeg,47.3819,16.5522
Pilis,47.2844,19.5435
Dorog,47.7194,18.7292
Nyírbátor,47.8333,22.1333
Halásztelek,47.3608,18.9878
Sajószentpéter,48.2169,20.7183
Budakalász,47.6215,19.0460
Isaszeg,47.5333,19.4000
Diósd,47.4042,18.9458
Bátonyterenye,47.9906,19.8309
Körmend,47.0110,16.6058
Tolna,46.4236,18.7903
Ráckeve,47.1608,18.9456
Solymár,47.5910,18.9290
Celldömölk,47.2557,17.1491
Tököl,47.3203,18.9671
